competition_id,season,match_id,match_name,match_type,match_order,match_date,match_start_time,match_end_date,match_end_time,timezone,ground_id,ground_name,city,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,toss_winner,first_batting_team,second_batting_team,first_innings_summary,second_innings_summary,first_innings_run_rate,second_innings_run_rate,result
10009,2017,10642,Rising Pune Supergiant VS Mumbai Indians,T20,60th  T20I,21 May 2017,20:00,21 May 2017,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,24,Rising Pune Supergiant,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,129/8 (20 Overs),128/6 (20 Overs),6.45,6.40,Mumbai Indians won by 1 run
10009,2017,10641,Mumbai Indians VS Kolkata Knight Riders,T20,59th  T20I,19 May 2017,20:00,19 May 2017,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,107/10 (18.5 Overs),111/4 (14.3 Overs),5.68,7.65,Mumbai Indians won by 6 wickets
10009,2017,10640,Sunrisers Hyderabad VS Kolkata Knight Riders,T20,58th  T20I,17 May 2017,20:00,17 May 2017,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,128/7 (20 Overs),48/3 (5.2 Overs),6.40,9.00,Kolkata Knight Riders won by 7 wickets (DLS Method)
10009,2017,10639,Mumbai Indians VS Rising Pune Supergiant,T20,57th  T20I,16 May 2017,20:00,16 May 2017,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,24,Rising Pune Supergiant,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,162/4 (20 Overs),142/9 (20 Overs),8.10,7.10,Rising Pune Supergiant won by 20 runs
10009,2017,10638,Delhi Daredevils VS Royal Challengers Bangalore,T20,56th  T20I,14 May 2017,20:00,14 May 2017,23:00,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,161/6 (20 Overs),151/10 (20 Overs),8.05,7.55,Royal Challengers Bangalore won by 10 runs
10009,2017,10637,Rising Pune Supergiant VS Punjab Kings,T20,55th  T20I,14 May 2017,16:00,14 May 2017,23:00,Asia/Kolkata,0,,Pune,24,Rising Pune Supergiant,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,Punjab Kings,Punjab Kings,Rising Pune Supergiant,73/10 (15.5 Overs),78/1 (12 Overs),4.61,6.50,Rising Pune Supergiant won by 9 wickets
10009,2017,10636,Kolkata Knight Riders VS Mumbai Indians,T20,54th  T20I,13 May 2017,20:00,13 May 2017,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,173/5 (20 Overs),164/8 (20 Overs),8.65,8.20,Mumbai Indians won by 9 runs
10009,2017,10635,Gujarat Lions VS Sunrisers Hyderabad,T20,53rd  T20I,13 May 2017,16:00,13 May 2017,23:00,Asia/Kolkata,59,Green Park,Kanpur,79,Gujarat Lions,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,154/10 (19.2 Overs),158/2 (18.1 Overs),7.96,8.69,Sunrisers Hyderabad won by 8 wickets
10009,2017,10634,Delhi Daredevils VS Rising Pune Supergiant,T20,52nd  T20I,12 May 2017,20:00,12 May 2017,23:00,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,24,Rising Pune Supergiant,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,168/8 (20 Overs),161/7 (20 Overs),8.40,8.05,Delhi Daredevils won by 7 runs
10009,2017,10633,Mumbai Indians VS Punjab Kings,T20,51st T20I,11 May 2017,20:00,11 May 2017,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,Punjab Kings,Punjab Kings,Mumbai Indians,230/3 (20 Overs),223/6 (20 Overs),11.50,11.15,Punjab Kings won by 7 runs
