competition_id,season,match_id,match_name,match_type,match_order,match_date,match_start_time,match_end_date,match_end_time,timezone,ground_id,ground_name,city,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,toss_winner,first_batting_team,second_batting_team,first_innings_summary,second_innings_summary,first_innings_run_rate,second_innings_run_rate,result
10007,2015,10522,Mumbai Indians VS Chennai Super Kings,T20,60th  T20I,24 May 2015,20:00,24 May 2015,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,202/5 (20 Overs),161/8 (20 Overs),10.10,8.05,Mumbai Indians won by 41 runs
10007,2015,10521,Chennai Super Kings VS Royal Challengers Bangalore,T20,59th  T20I,22 May 2015,20:00,22 May 2015,23:00,Asia/Kolkata,84,JSCA International Cricket Stadium,Ranchi,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,139/8 (20 Overs),140/7 (19.5 Overs),6.95,7.05,Chennai Super Kings won by 3 wickets
10007,2015,10520,Royal Challengers Bangalore VS Rajasthan Royals,T20,58th  T20I,20 May 2015,20:00,20 May 2015,23:00,Asia/Kolkata,0,,Pune,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,180/4 (20 Overs),109/10 (19 Overs),9.00,5.73,Royal Challengers Bangalore won by 71 runs
10007,2015,10519,Chennai Super Kings VS Mumbai Indians,T20,57th  T20I,19 May 2015,20:00,19 May 2015,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Chennai Super Kings,187/6 (20 Overs),162/10 (19 Overs),9.35,8.52,Mumbai Indians won by 25 runs
10007,2015,10518,Sunrisers Hyderabad VS Mumbai Indians,T20,56th  T20I,17 May 2015,20:00,17 May 2015,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,113/10 (20 Overs),114/1 (13.5 Overs),5.65,8.24,Mumbai Indians won by 9 wickets
10007,2015,10517,Royal Challengers Bangalore VS Delhi Daredevils,T20,55th  T20I,17 May 2015,16:00,17 May 2015,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,187/5 (20 Overs),2/0 (1.1 Overs),9.35,1.71,No result
10007,2015,10516,Rajasthan Royals VS Kolkata Knight Riders,T20,54th  T20I,16 May 2015,20:00,16 May 2015,23:00,Asia/Kolkata,79,Brabourne Stadium,Mumbai,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,199/6 (20 Overs),190/9 (20 Overs),9.95,9.50,Rajasthan Royals won by 9 runs
10007,2015,10515,Punjab Kings VS Chennai Super Kings,T20,53rd  T20I,16 May 2015,16:00,16 May 2015,23:00,Asia/Kolkata,71,IS Bindra Stadium,Mohali,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,Chennai Super Kings,Punjab Kings,Chennai Super Kings,130/7 (20 Overs),134/3 (16.5 Overs),6.50,7.96,Chennai Super Kings won by 7 wickets
10007,2015,10514,Sunrisers Hyderabad VS Royal Challengers Bangalore,T20,52nd  T20I,15 May 2015,20:00,15 May 2015,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,135/3 (11 Overs),83/4 (5.5 Overs),12.27,14.22,Royal Challengers Bangalore won by 6 wickets (D/L method)
10007,2015,10513,Mumbai Indians VS Kolkata Knight Riders,T20,51st T20I,14 May 2015,20:00,14 May 2015,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,171/4 (20 Overs),166/7 (20 Overs),8.55,8.30,Mumbai Indians won by 5 runs
