competition_id,season,match_id,match_name,match_type,match_order,match_date,match_start_time,match_end_date,match_end_time,timezone,ground_id,ground_name,city,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,toss_winner,first_batting_team,second_batting_team,first_innings_summary,second_innings_summary,first_innings_run_rate,second_innings_run_rate,result
203,2025,1872,Royal Challengers Bengaluru vs Punjab Kings,T20 (N),Final,3 Jun 2025,19:30,3 Jun 2025,23:59,Asia/Kolkata,55,Narendra Modi Stadium,Ahmedabad,19,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/NVAlbtIyB81740555172aFPMviEPyJ1710927747rcb.png,15,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,190/9 (20.0 Overs),184/7 (20.0 Overs),9.5,9.2,Royal Challengers Bengaluru Won by 6  Runs (Winners)
203,2025,1871,Punjab Kings vs Mumbai Indians,T20 (N),Qualifier 2,1 Jun 2025,19:30,2 Jun 2025,23:59,Asia/Kolkata,55,Narendra Modi Stadium,Ahmedabad,15,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,17,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Punjab Kings,Mumbai Indians,Punjab Kings,203/6 (20.0 Overs),207/5 (19.0 Overs),10.15,10.89,Punjab Kings Won by 5  Wickets (Qualified)
203,2025,1870,Gujarat Titans vs Mumbai Indians,T20 (N),Eliminator,30 May 2025,19:30,30 May 2025,23:59,Asia/Kolkata,131,New PCA Stadium,Chandigarh,35,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,17,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Mumbai Indians,Mumbai Indians,Gujarat Titans,228/5 (20.0 Overs),208/6 (20.0 Overs),11.4,10.4,Mumbai Indians Won by 20  Runs (Qualified)
203,2025,1869,Punjab Kings vs Royal Challengers Bengaluru,T20 (N),Qualifier 1,29 May 2025,19:30,29 May 2025,23:59,Asia/Kolkata,131,New PCA Stadium,Chandigarh,15,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,19,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/NVAlbtIyB81740555172aFPMviEPyJ1710927747rcb.png,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,101/10 (14.1 Overs),106/2 (10.0 Overs),7.13,10.6,Royal Challengers Bengaluru Won by 8  Wickets (Qualified)
203,2025,1868,Lucknow Super Giants vs Royal Challengers Bengaluru,T20 (N),Match 70,27 May 2025,19:30,27 May 2025,23:59,Asia/Kolkata,49,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,77,Lucknow Super Giants,https://scores.iplt20.com/ipl/teamlogos/gPLvfvSC1X1711457972LSG.png,19,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/NVAlbtIyB81740555172aFPMviEPyJ1710927747rcb.png,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,227/3 (20.0 Overs),230/4 (18.4 Overs),11.35,12.32,Royal Challengers Bengaluru Won by 6  Wickets 
203,2025,1867,Punjab Kings vs Mumbai Indians,T20 (N),Match 69,26 May 2025,19:30,26 May 2025,23:59,Asia/Kolkata,20,Sawai Mansingh Stadium,Jaipur,15,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,17,Mumbai Indians,https://scores.iplt20.com/ipl/teamlogos/MI.png,Punjab Kings,Mumbai Indians,Punjab Kings,184/7 (20.0 Overs),187/3 (18.3 Overs),9.2,10.11,Punjab Kings Won by 7  Wickets 
203,2025,1866,Sunrisers Hyderabad vs Kolkata Knight Riders,T20 (N),Match 68,25 May 2025,19:30,25 May 2025,23:59,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,20,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,16,Kolkata Knight Riders,https://scores.iplt20.com/ipl/teamlogos/KKR.png,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,278/3 (20.0 Overs),168/10 (18.4 Overs),13.9,9,Sunrisers Hyderabad Won by 110  Runs 
203,2025,1865,Gujarat Titans vs Chennai Super Kings,T20 D/N,Match 67,25 May 2025,15:30,25 May 2025,23:59,Asia/Kolkata,55,Narendra Modi Stadium,Ahmedabad,35,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,13,Chennai Super Kings,https://scores.iplt20.com/ipl/teamlogos/CSK.png,Chennai Super Kings,Chennai Super Kings,Gujarat Titans,230/5 (20.0 Overs),147/10 (18.3 Overs),11.5,7.95,Chennai Super Kings Won by 83  Runs 
203,2025,1864,Punjab Kings vs Delhi Capitals,T20 (N),Match 66,24 May 2025,19:30,24 May 2025,23:59,Asia/Kolkata,20,Sawai Mansingh Stadium,Jaipur,15,Punjab Kings,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,14,Delhi Capitals,https://scores.iplt20.com/ipl/teamlogos/DC.png,Delhi Capitals,Punjab Kings,Delhi Capitals,206/8 (20.0 Overs),208/4 (19.3 Overs),10.3,10.67,Delhi Capitals Won by 6  Wickets 
203,2025,1863,Royal Challengers Bengaluru vs Sunrisers Hyderabad,T20 (N),Match 65,23 May 2025,19:30,23 May 2025,23:59,Asia/Kolkata,49,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,19,Royal Challengers Bengaluru,https://scores.iplt20.com/ipl/teamlogos/NVAlbtIyB81740555172aFPMviEPyJ1710927747rcb.png,20,Sunrisers Hyderabad,https://scores.iplt20.com/ipl/teamlogos/SRH.png,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,231/6 (20.0 Overs),189/10 (19.5 Overs),11.55,9.53,Sunrisers Hyderabad Won by 42  Runs 
