competition_id,season,match_id,match_name,match_type,match_order,match_date,match_start_time,match_end_date,match_end_time,timezone,ground_id,ground_name,city,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_name,away_team_logo,toss_winner,first_batting_team,second_batting_team,first_innings_summary,second_innings_summary,first_innings_run_rate,second_innings_run_rate,result
10006,2014,10462,Punjab Kings VS Kolkata Knight Riders,T20,60th  T20I,1 Jun 2014,20:00,1 Jun 2014,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,199/4 (20 Overs),200/7 (19.3 Overs),9.95,10.25,Kolkata Knight Riders won by 3 wickets
10006,2014,10461,Punjab Kings VS Chennai Super Kings,T20,59th  T20I,30 May 2014,20:00,30 May 2014,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,Chennai Super Kings,Punjab Kings,Chennai Super Kings,226/6 (20 Overs),202/7 (20 Overs),11.30,10.10,Punjab Kings won by 24 runs
10006,2014,10460,Chennai Super Kings VS Mumbai Indians,T20,58th  T20I,28 May 2014,20:00,28 May 2014,23:00,Asia/Kolkata,79,Brabourne Stadium,Mumbai,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Chennai Super Kings,173/8 (20 Overs),176/3 (18.4 Overs),8.65,9.42,Chennai Super Kings won by 7 wickets
10006,2014,10459,Punjab Kings VS Kolkata Knight Riders,T20,57th  T20I,28 May 2014,16:00,28 May 2014,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,163/8 (20 Overs),135/8 (20 Overs),8.15,6.75,Kolkata Knight Riders won by 28 runs
10006,2014,10458,Mumbai Indians VS Rajasthan Royals,T20,56th  T20I,25 May 2014,20:00,25 May 2014,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,189/4 (20 Overs),195/5 (14.4 Overs),9.45,13.29,Mumbai Indians won by 5 wickets
10006,2014,10457,Punjab Kings VS Delhi Daredevils,T20,55th  T20I,25 May 2014,16:00,25 May 2014,23:00,Asia/Kolkata,71,IS Bindra Stadium,Mohali,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,Delhi Daredevils,Delhi Daredevils,Punjab Kings,115/10 (18.1 Overs),119/3 (13.5 Overs),6.33,8.60,Punjab Kings won by 7 wickets
10006,2014,10456,Kolkata Knight Riders VS Sunrisers Hyderabad,T20,54th  T20I,24 May 2014,20:00,24 May 2014,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,160/7 (20 Overs),161/6 (14.2 Overs),8.00,11.23,Kolkata Knight Riders won by 4 wickets
10006,2014,10455,Royal Challengers Bangalore VS Chennai Super Kings,T20,53rd  T20I,24 May 2014,16:00,24 May 2014,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,154/6 (20 Overs),160/2 (17.4 Overs),7.70,9.05,Chennai Super Kings won by 8 wickets
10006,2014,10454,Punjab Kings VS Rajasthan Royals,T20,52nd  T20I,23 May 2014,20:00,23 May 2014,23:00,Asia/Kolkata,71,IS Bindra Stadium,Mohali,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,Rajasthan Royals,Punjab Kings,Rajasthan Royals,179/4 (20 Overs),163/8 (20 Overs),8.95,8.15,Punjab Kings won by 16 runs
10006,2014,10453,Mumbai Indians VS Delhi Daredevils,T20,51st T20I,23 May 2014,16:00,23 May 2014,23:00,Asia/Kolkata,21,Wankhede Stadium,Mumbai,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,173/10 (19.3 Overs),158/4 (20 Overs),8.87,7.90,Mumbai Indians won by 15 runs
10006,2014,10452,Chennai Super Kings VS Sunrisers Hyderabad,T20,50th  T20I,22 May 2014,20:00,22 May 2014,23:00,Asia/Kolkata,84,JSCA International Cricket Stadium,Ranchi,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,185/3 (20 Overs),189/4 (19.4 Overs),9.25,9.61,Sunrisers Hyderabad won by 6 wickets
10006,2014,10451,Kolkata Knight Riders VS Royal Challengers Bangalore,T20,49th  T20I,22 May 2014,16:00,22 May 2014,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,195/4 (20 Overs),165/5 (20 Overs),9.75,8.25,Kolkata Knight Riders won by 30 runs
10006,2014,10450,Punjab Kings VS Mumbai Indians,T20,48th  T20I,21 May 2014,20:00,21 May 2014,23:00,Asia/Kolkata,71,IS Bindra Stadium,Mohali,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Punjab Kings,Mumbai Indians,156/8 (20 Overs),159/3 (19 Overs),7.80,8.36,Mumbai Indians won by 7 wickets
10006,2014,10449,Kolkata Knight Riders VS Chennai Super Kings,T20,47th  T20I,20 May 2014,20:00,20 May 2014,23:00,Asia/Kolkata,19,Eden Gardens,Kolkata,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,154/4 (20 Overs),156/2 (18 Overs),7.70,8.66,Kolkata Knight Riders won by 8 wickets
10006,2014,10448,Sunrisers Hyderabad VS Royal Challengers Bangalore,T20,46th  T20I,20 May 2014,16:00,20 May 2014,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,160/6 (20 Overs),161/3 (19.4 Overs),8.00,8.18,Sunrisers Hyderabad won by 7 wickets
10006,2014,10447,Delhi Daredevils VS Punjab Kings,T20,45th  T20I,19 May 2014,20:00,19 May 2014,23:00,Asia/Kolkata,17,Arun Jaitley Stadium,Delhi,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,Punjab Kings,Delhi Daredevils,Punjab Kings,164/7 (20 Overs),165/6 (19.4 Overs),8.20,8.38,Punjab Kings won by 4 wickets
10006,2014,10446,Rajasthan Royals VS Mumbai Indians,T20,44th  T20I,19 May 2014,16:00,19 May 2014,23:00,Asia/Kolkata,55,Narendra Modi Stadium,Ahmedabad,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Rajasthan Royals,178/3 (20 Overs),153/8 (20 Overs),8.90,7.65,Mumbai Indians won by 25 runs
10006,2014,10445,Sunrisers Hyderabad VS Kolkata Knight Riders,T20,43rd  T20I,18 May 2014,20:00,18 May 2014,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,142/8 (20 Overs),146/3 (19.4 Overs),7.10,7.42,Kolkata Knight Riders won by 7 wickets
10006,2014,10444,Chennai Super Kings VS Royal Challengers Bangalore,T20,42nd  T20I,18 May 2014,16:00,18 May 2014,23:00,Asia/Kolkata,84,JSCA International Cricket Stadium,Ranchi,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,138/4 (20 Overs),142/5 (19.5 Overs),6.90,7.15,Royal Challengers Bangalore won by 5 wickets
10006,2014,10443,Rajasthan Royals VS Delhi Daredevils,T20,41st T20I,15 May 2014,20:00,15 May 2014,23:00,Asia/Kolkata,55,Narendra Modi Stadium,Ahmedabad,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,201/6 (20 Overs),139/9 (20 Overs),10.05,6.95,Rajasthan Royals won by 62 runs
10006,2014,10442,Kolkata Knight Riders VS Mumbai Indians,T20,40th  T20I,14 May 2014,20:00,14 May 2014,23:00,Asia/Kolkata,43,Barabati Stadium,Cuttack,16,Kolkata Knight Riders,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,141/5 (20 Overs),142/4 (18.4 Overs),7.05,7.60,Kolkata Knight Riders won by 6 wickets
10006,2014,10441,Sunrisers Hyderabad VS Punjab Kings,T20,39th  T20I,14 May 2014,16:00,14 May 2014,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,15,Punjab Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,205/5 (20 Overs),211/4 (18.4 Overs),10.25,11.30,Punjab Kings won by 6 wickets
10006,2014,10440,Royal Challengers Bangalore VS Delhi Daredevils,T20,38th  T20I,13 May 2014,20:00,13 May 2014,23:00,Asia/Kolkata,70,M. Chinnaswamy Stadium,Bengaluru,19,Royal Challengers Bangalore,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,14,Delhi Daredevils,https://scores.iplt20.com/ipl/teamlogos/DD.png,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,186/4 (20 Overs),170/7 (20 Overs),9.30,8.50,Royal Challengers Bangalore won by 16 runs
10006,2014,10439,Chennai Super Kings VS Rajasthan Royals,T20,37th  T20I,13 May 2014,16:00,13 May 2014,23:00,Asia/Kolkata,84,JSCA International Cricket Stadium,Ranchi,13,Chennai Super Kings,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,18,Rajasthan Royals,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,148/8 (20 Overs),149/5 (19.4 Overs),7.40,7.57,Chennai Super Kings won by 5 wickets
10006,2014,10438,Sunrisers Hyderabad VS Mumbai Indians,T20,36th  T20I,12 May 2014,20:00,12 May 2014,23:00,Asia/Kolkata,72,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,20,Sunrisers Hyderabad,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,17,Mumbai Indians,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,157/3 (20 Overs),160/3 (18.4 Overs),7.85,8.57,Mumbai Indians won by 7 wickets
